neighborhood_name,count
Baró de Viver,256
Can Baró,228
Can Peguera,75
Canyelles,441
Ciutat Meridiana,143
Desconegut,223
Diagonal Mar i el Front Marítim del Poblenou,1327
Horta,1512
Hostafrancs,1369
Montbau,451
Navas,828
Pedralbes,1867
Porta,940
Provençals del Poblenou,1793
Sant Andreu,2078
Sant Antoni,2604
Sant Genís dels Agudells,536
Sant Gervasi - Galvany,4633
Sant Gervasi - la Bonanova,2538
Sant Martí de Provençals,862
"Sant Pere, Santa Caterina i la Ribera",1398
Sants,1797
Sants - Badal,754
Sarrià,1937
Torre Baró,128
Vallbona,77
Vallcarca i els Penitents,1384
"Vallvidrera, el Tibidabo i les Planes",312
Verdun,274
Vilapicina i la Torre Llobeta,940
el Baix Guinardó,1267
el Barri Gòtic,1660
el Besòs i el Maresme,743
el Bon Pastor,1459
el Camp d'en Grassot i Gràcia Nova,1351
el Camp de l'Arpa del Clot,1747
el Carmel,1008
el Clot,1505
el Coll,208
el Congrés i els Indians,549
el Fort Pienc,3124
el Guinardó,1287
el Parc i la Llacuna del Poblenou,1641
el Poble Sec,1687
el Poble-sec,985
el Poblenou,1628
el Putxet i el Farró,1315
el Raval,1767
el Turó de la Peira,308
l'Antiga Esquerra de l'Eixample,6073
la Barceloneta,1468
la Bordeta,1051
la Clota,176
la Dreta de l'Eixample,12354
la Font d'en Fargues,390
la Font de la Guatlla,608
la Guineueta,545
la Marina de Port,1158
la Marina del Prat Vermell,2567
la Maternitat i Sant Ramon,2480
la Nova Esquerra de l'Eixample,4275
la Prosperitat,873
la Sagrada Família,3829
la Sagrera,911
la Salut,795
la Teixonera,322
la Trinitat Nova,715
la Trinitat Vella,941
la Vall d'Hebron,777
la Verneda i la Pau,817
la Vila Olímpica del Poblenou,1296
la Vila de Gràcia,1865
les Corts,3342
les Roquetes,509
les Tres Torres,1573
